Job Title,Job link,Company,Salary,Experience,Min_Salary,Max_Salary,Experience(in yrs),Category
Python Developer,https://internshala.com/job/detail/python-developer-job-in-bangalore-at-aliqan-technologies1749103581,ALIQAN Technologies,"₹ 12,00,000 - 18,00,000 /year",5 year(s),1200000,1800000,5,Data & AI
Python (Programming Language),https://internshala.com/job/detail/python-programming-language-job-in-bangalore-at-aliqan-technologies1749103581,ALIQAN Technologies,"₹ 12,00,000 - 18,00,000 /year",5 year(s),1200000,1800000,5,Data & AI
MS Dynamics F&O,https://internshala.com/job/detail/remote-ms-dynamics-f-o-job-at-admin-looks1751589126,Admin Looks,"₹ 12,00,000 - 16,00,000 /year",4 year(s),1200000,1600000,4,Other
Eagle Star QC Analyst,https://internshala.com/job/detail/eagle-star-qc-analyst-job-in-multiple-locations-at-kiash-solutions-llp1749103335,Kiash Solutions LLP,"₹ 12,00,000 - 16,00,000 /year",3 year(s),1200000,1600000,3,Data & AI
Azure Platform Engineer,https://internshala.com/job/detail/remote-azure-platform-engineer-job-at-admin-looks1749150071,Admin Looks,"₹ 12,00,000 - 15,00,000 /year",7 year(s),1200000,1500000,7,Software Development
Java Developer,https://internshala.com/job/detail/java-developer-job-in-multiple-locations-at-aliqan-technologies1747873825,ALIQAN Technologies,"₹ 12,00,000 - 14,40,000 /year",7 year(s),1200000,1440000,7,Software Development
Full Stack Developer (.Net With AWS),https://internshala.com/job/detail/remote-full-stack-developer-net-with-aws-job-at-crazy-solutions1747009816,Crazy Solutions,"₹ 12,00,000 - 14,00,000 /year",4 year(s),1200000,1400000,4,Software Development
Sr. Azure Data Engineer,https://internshala.com/job/detail/remote-sr-azure-data-engineer-job-at-aliqan-technologies1750984287,ALIQAN Technologies,"₹ 12,00,000 - 13,20,000 /year",8 year(s),1200000,1320000,8,Data & AI
Automation Anywhere Developer,https://internshala.com/job/detail/remote-automation-anywhere-developer-job-at-intineri-infosol-private-limited1749841218,INTINERI INFOSOL PRIVATE LIMITED,"₹ 10,80,000 - 16,80,000 /year",7 year(s),1080000,1680000,7,Software Development
SAP Project Manager,https://internshala.com/job/detail/sap-project-manager-job-in-pune-at-intineri-infosol-private-limited1751589057,INTINERI INFOSOL PRIVATE LIMITED,"₹ 10,00,000 - 45,00,000 /year",10 year(s),1000000,4500000,10,SAP & ERP
AWS Data Engineer,https://internshala.com/job/detail/aws-data-engineer-job-in-multiple-locations-at-future-leap-careers1749639472,Future Leap Careers,"₹ 10,00,000 - 22,00,000 /year",1 year(s),1000000,2200000,1,Data & AI
Sr Cyber Security Analyst,https://internshala.com/job/detail/sr-cyber-security-analyst-job-in-bangalore-at-kiash-solutions-llp1750984465,Kiash Solutions LLP,"₹ 10,00,000 - 15,00,000 /year",3 year(s),1000000,1500000,3,Data & AI
Dotnet Azure Developer,https://internshala.com/job/detail/dotnet-azure-developer-job-in-multiple-locations-at-kiash-solutions-llp1750984393,Kiash Solutions LLP,"₹ 10,00,000 - 15,00,000 /year",3 year(s),1000000,1500000,3,Software Development
Java Developer,https://internshala.com/job/detail/java-developer-job-in-chennai-at-cloudious-llc1750552229,Cloudious LLC,"₹ 10,00,000 - 15,00,000 /year",8 year(s),1000000,1500000,8,Software Development
Artificial Intelligence Engineer,https://internshala.com/job/detail/artificial-intelligence-engineer-job-in-multiple-locations-at-kiash-solutions-llp1749103705,Kiash Solutions LLP,"₹ 10,00,000 - 15,00,000 /year",4 year(s),1000000,1500000,4,Data & AI
Python Developer,https://internshala.com/job/detail/python-developer-job-in-mohali-at-nexus-jobs1749103269,Nexus Jobs,"₹ 10,00,000 - 15,00,000 /year",3 year(s),1000000,1500000,3,Data & AI
